Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.9393,Wed Jul 04 19:03:04 +0000 2018,0.0,0.439,0.561,"Award-winning comedian Rich Hall explores the American dream. 🇺🇸

Rich Hall's Working for the American Dream | 9pm… https://t.co/cwNFVC4hGk",0,@BBC
-0.5103,Wed Jul 04 18:02:03 +0000 2018,0.321,0.535,0.144,The Dutch have a prison problem - too many cells and not enough prisoners. https://t.co/uIZ69q8dlF,1,@BBC
0.6597,Wed Jul 04 16:52:02 +0000 2018,0.086,0.631,0.284,😂 'Some people say policing in the country is a bit like #HotFuzz'. https://t.co/eOdStnQLN3,2,@BBC
-0.296,Wed Jul 04 16:02:01 +0000 2018,0.145,0.855,0.0,"💃 Meet the incredible 23-year-old @SherrieSilver, who choreographed Childish Gambino's #ThisIsAmerica video. https://t.co/jUFLCUBXdl",3,@BBC
0.0,Wed Jul 04 14:27:00 +0000 2018,0.0,1.0,0.0,"RT @BBCWthrWatchers: If you find a pot of gold at the end of a regular rainbow, what do you get at the end of a rare #fogbow? 🤔 

Tomasz @S…",4,@BBC
0.0,Wed Jul 04 14:04:05 +0000 2018,0.0,1.0,0.0,When this couple went into hospital for the birth of their baby it wasn't just mum who had an eventful night... dad… https://t.co/5FFq82YPZm,5,@BBC
-0.8934,Wed Jul 04 13:01:25 +0000 2018,0.474,0.526,0.0,RT @BBCFOUR: Every Olympic athlete has battles to fight. Gymnast Margarita Mamun had to fight a war. https://t.co/cpsI8CyybU,6,@BBC
0.7964,Wed Jul 04 12:34:02 +0000 2018,0.068,0.645,0.287,"""Y'alright love?""

😂 This crow has a Yorkshire accent and it's the best thing you'll hear today. https://t.co/3J8BQGiZM7",7,@BBC
0.6114,Wed Jul 04 12:01:08 +0000 2018,0.0,0.6,0.4,"🔊🐟🐡🐬🐠 
 The sea is a wonderful place!  https://t.co/AFvOD3y9Os",8,@BBC
0.0,Wed Jul 04 11:01:08 +0000 2018,0.0,1.0,0.0,"For the first time, astronomers have captured an image of a planet that's still forming. 🔭🌟📸
https://t.co/WoDnm1SdVj https://t.co/Kq6llPJGLZ",9,@BBC
-0.802,Wed Jul 04 10:17:15 +0000 2018,0.275,0.725,0.0,A US hunter has come under criticism after pictures taken in South Africa of her posing with a dead giraffe went vi… https://t.co/dYhxZkOuUH,10,@BBC
0.7351,Wed Jul 04 08:00:11 +0000 2018,0.0,0.592,0.408,🎸 This amazing human learnt to play guitar with a hook. https://t.co/GaTQ0FDpF4,11,@BBC
-0.4019,Wed Jul 04 07:23:02 +0000 2018,0.13,0.87,0.0,Lung cancer is commonly associated with smoking. But rates of the disease among non-smokers – and women – are risin… https://t.co/vYe3Cct7bp,12,@BBC
